TITLE="(Vx,Vy)"
VARIABLES=X,Y,Hx,Hy,Hm
ZONE T="T-Dummy" I=83, J=30, F=POINT
1.710000 5.503012 2736.806641 6522.949219 7073.837891
1.710000 5.607831 3636.937988 7529.339844 8361.716797
1.710000 5.712651 1947.478638 7499.918457 7748.643066
1.710000 5.817470 235.815552 7511.205078 7515.036133
1.710000 5.922289 1213.798462 7293.746094 7394.229492
1.710000 6.027108 2222.360840 7473.012695 7796.468750
1.710000 6.131928 3102.943359 7489.831543 8107.148438
1.710000 6.236747 3977.415527 7511.359375 8499.434570
1.710000 6.341566 2394.647461 7113.200195 7505.550293
1.710000 6.446386 805.630371 6931.215820 6977.887695
1.710000 6.551205 1660.970825 7060.688477 7253.430176
1.710000 6.656024 2550.217041 7250.835938 7686.275391
1.710000 6.760843 3547.838379 7300.604980 8118.293945
1.710000 6.865663 2000.525391 8024.555664 8270.176758
1.710000 6.970482 260.213470 6909.498535 6914.399414
1.710000 7.075301 1080.720581 7138.208496 7219.563477
1.710000 7.180120 2028.293457 7653.626953 7917.880859
1.710000 7.284940 3091.983398 6461.968262 7163.644531
1.710000 7.389759 4058.735840 7228.448730 8289.997070
1.710000 7.494578 2289.108887 7143.561523 7501.374512
1.710000 7.599398 527.879395 7181.759766 7201.135742
1.710000 7.704217 1589.525879 6902.308594 7082.971191
1.710000 7.809036 2702.349609 7076.412109 7574.929688
1.710000 7.913855 3580.498047 6921.537598 7792.801758
1.710000 8.018675 4374.448242 7028.486328 8278.985352
1.710000 8.123494 5766.249023 6997.680664 9067.882812
1.710000 8.228313 5814.078125 6962.230469 9073.085938
1.710000 8.333133 5241.041016 7153.164062 8867.757812
1.710000 8.437952 6022.680664 7125.430176 9330.483398
1.710000 8.542771 6726.578125 6844.430664 9596.599609
1.710000 8.647590 0.000000 0.000000 0.000000
1.836667 0.052410 0.000000 0.000000 0.000000
1.836667 0.157229 6404.890625 7174.533691 9618.023438
1.836667 0.262048 7069.528320 6870.777344 9858.302734
1.836667 0.366867 6423.323242 6987.699219 9491.964844
1.836667 0.471687 5747.751953 7050.071777 9096.308594
1.836667 0.576506 6377.644043 7433.253906 9794.664062
1.836667 0.681325 6971.047852 7009.951172 9886.132812
1.836667 0.786145 6347.509766 7148.647461 9561.035156
1.836667 0.890964 5743.085938 6020.244629 8322.187500
1.836667 0.995783 6345.138672 6863.233398 9346.921875
1.836667 1.100602 6805.816895 6888.977539 9683.860352
1.836667 1.205422 6087.720215 7174.167480 9409.765625
1.836667 1.310241 5514.175781 6773.494141 8734.601562
1.836667 1.415060 6130.935547 6219.310547 8733.410156
1.836667 1.519880 6589.414062 6636.272949 9352.106445
1.836667 1.624699 5859.308594 7263.560547 9332.481445
1.836667 1.729518 5293.257812 7016.949219 8789.607422
1.836667 1.834337 5928.970703 6517.732910 8811.276367
1.836667 1.939157 6419.101562 6744.151367 9310.740234
1.836667 2.043976 6740.842773 6978.804688 9703.306641
1.836667 2.148795 6144.104004 7033.050781 9338.894531
1.836667 2.253614 5688.490234 6801.402344 8869.044922
1.836667 2.358434 6168.534668 6839.000000 9210.053711
1.836667 2.463253 6547.590820 7092.913086 9653.632812
1.836667 2.568072 6763.041992 6791.539062 9584.661133
1.836667 2.672892 6608.854492 6014.307617 8939.072266
1.836667 2.777711 6188.562500 5647.625000 8378.619141
1.836667 2.882530 6508.821289 6735.601562 9367.011719
1.836667 2.987349 7139.138672 6417.369629 9599.597656
1.836667 3.092169 7251.060059 6624.059570 9821.686523
1.836667 3.196988 7086.419922 5752.790039 9127.839844
1.836667 3.301807 6724.350586 6795.796875 9560.808594
1.836667 3.406627 6823.114258 6376.825195 9339.117188
1.836667 3.511446 6936.628906 6586.334961 9566.656250
1.836667 3.616265 6784.039062 5959.350586 9031.049805
1.836667 3.721084 6627.162109 6823.874023 9512.576172
1.836667 3.825904 6528.476562 6363.061523 9116.550781
1.836667 3.930723 6724.833008 6492.829102 9349.210938
1.836667 4.035542 3488.210205 6526.908203 7400.714355
1.836667 4.140361 514.746277 5914.894043 5937.252930
1.836667 4.245181 1358.837158 5826.438477 5982.820312
1.836667 4.350000 2432.732178 6181.299316 6642.958496
1.836667 4.454819 3480.679199 6691.437500 7542.637695
1.836667 4.559639 4287.729492 6145.403320 7493.699219
1.836667 4.664458 5046.580566 5896.321289 7761.202637
1.836667 4.769277 5850.459961 6225.271484 8543.963867
1.836667 4.874096 6512.444336 6610.855469 9279.989258
1.836667 4.978916 6817.091797 6238.903809 9245.195312
1.836667 5.083735 6411.891602 5907.469238 8718.912109
1.836667 5.188554 6300.147461 6103.940430 8773.193359
1.836667 5.293373 3451.036133 6507.492188 7365.946289
1.836667 5.398193 3199.665039 6704.946289 7430.877930
1.836667 5.503012 6210.411133 5616.397949 8373.962891
1.836667 5.607831 6072.430664 6709.884766 9050.806641
1.836667 5.712651 6200.978516 5917.836914 8571.695312
1.836667 5.817470 6459.809082 6159.714355 8927.087891
1.836667 5.922289 6323.967773 5740.291992 8540.890625
1.836667 6.027108 3220.038086 6517.600586 7270.307617
1.836667 6.131928 658.346924 6159.755859 6194.909180
1.836667 6.236747 1586.434814 6424.153320 6617.625000
1.836667 6.341566 2572.448242 5743.845703 6293.895020
1.836667 6.446386 3601.986328 6052.179688 7043.682617
1.836667 6.551205 2138.612305 5718.656738 6105.489258
1.836667 6.656024 557.641602 6043.872070 6069.762207
1.836667 6.760843 1472.005859 5803.797852 5988.261719
1.836667 6.865663 2480.417236 6939.864258 7370.142578
1.836667 6.970482 3490.792725 5433.503906 6458.219727
1.836667 7.075301 2006.010986 6962.552734 7246.033203
1.836667 7.180120 449.774353 7143.821289 7158.033691
1.836667 7.284940 1377.493164 6256.294922 6406.408203
1.836667 7.389759 2379.557129 6657.772461 7070.288086
1.836667 7.494578 3403.227539 6668.791992 7487.514648
1.836667 7.599398 1931.881348 6319.511230 6608.514648
1.836667 7.704217 338.251099 6248.563477 6257.920898
1.836667 7.809036 1260.512207 5971.493164 6103.418457
1.836667 7.913855 2287.058594 5858.283203 6289.639648
1.836667 8.018675 3299.955811 5257.165039 6207.860352
1.836667 8.123494 3665.715332 5793.709961 6867.612305
1.836667 8.228313 2080.671875 6774.733398 7107.930664
1.836667 8.333133 1153.989136 5484.259277 5604.970703
1.836667 8.437952 2176.387695 5489.249023 5905.362305
1.836667 8.542771 3208.208984 6824.890625 7541.671875
1.836667 8.647590 0.000000 0.000000 0.000000
1.963333 0.052410 0.000000 0.000000 0.000000
1.963333 0.157229 2097.579590 5946.436035 6306.041016
1.963333 0.262048 3126.935547 5866.367188 6648.453125
1.963333 0.366867 4114.171387 5773.034180 7089.811523
1.963333 0.471687 2522.788086 5897.649414 6415.104980
1.963333 0.576506 972.412720 5845.208496 5925.886230
1.963333 0.681325 2013.324707 5769.044922 6110.595215
1.963333 0.786145 3065.486816 5939.886719 6684.918945
1.963333 0.890964 4046.315430 5810.810547 7081.701660
1.963333 0.995783 5892.265625 5801.893066 8269.500977
1.963333 1.100602 7229.538086 5854.261230 9303.458984
1.963333 1.205422 6404.214844 5769.728516 8620.696289
1.963333 1.310241 6099.480469 5998.170898 8555.707031
1.963333 1.415060 7022.764160 5895.096680 9169.883789
1.963333 1.519880 7457.554199 5728.108398 9404.433594
1.963333 1.624699 6515.567871 5997.539062 8856.246094
1.963333 1.729518 6058.649414 5818.751953 8401.296875
1.963333 1.834337 6915.470703 6076.438965 9206.542969
1.963333 1.939157 6065.517090 5954.993164 8501.205078
1.963333 2.043976 5347.064453 5833.519531 7914.250000
1.963333 2.148795 6291.424805 5980.846191 8681.320312
1.963333 2.253614 7056.753906 5940.435059 9224.967773
1.963333 2.358434 6262.249023 6161.979492 8786.841797
1.963333 2.463253 5611.846191 6053.288574 8255.148438
1.963333 2.568072 6474.183594 5868.462402 8739.041992
1.963333 2.672892 7152.854004 4897.317871 8670.118164
1.963333 2.777711 6301.175781 4714.544922 7871.130859
1.963333 2.882530 5605.464844 5753.823242 8033.892578
1.963333 2.987349 6416.932617 5668.140137 8563.485352
1.963333 3.092169 7056.958984 5454.470215 8920.396484
1.963333 3.196988 6261.480469 4985.501953 8005.458984
1.963333 3.301807 5595.892578 5517.308594 7859.457031
1.963333 3.406627 6331.055664 5781.240234 8575.859375
1.963333 3.511446 6913.117188 5550.958984 8867.128906
1.963333 3.616265 6197.308594 5859.883789 8530.791016
1.963333 3.721084 5583.900391 5643.070801 7939.780273
