0.276	0.276	0.277	0.277	0.276	0.274	0.271	0.268	0.264	0.261	0.259	0.259	0.261	0.263	0.264	0.264	0.263	0.261	0.257	0.253	0.249	0.244	0.238	0.232	0.225	0.218	0.211	0.204	0.199	0.194	0.19
0.277	0.278	0.281	0.284	0.287	0.287	0.286	0.284	0.281	0.278	0.276	0.274	0.273	0.272	0.271	0.269	0.267	0.264	0.261	0.257	0.253	0.248	0.243	0.237	0.231	0.224	0.218	0.211	0.204	0.198	0.193
0.273	0.274	0.278	0.282	0.286	0.287	0.287	0.286	0.284	0.282	0.28	0.278	0.276	0.274	0.273	0.271	0.268	0.265	0.262	0.258	0.254	0.25	0.245	0.24	0.234	0.228	0.222	0.216	0.209	0.202	0.195
0.265	0.266	0.271	0.275	0.28	0.282	0.283	0.284	0.283	0.281	0.28	0.278	0.277	0.275	0.273	0.271	0.268	0.266	0.263	0.259	0.255	0.251	0.246	0.242	0.237	0.231	0.225	0.219	0.213	0.206	0.198
0.253	0.256	0.261	0.266	0.271	0.274	0.276	0.278	0.278	0.277	0.276	0.275	0.274	0.273	0.271	0.269	0.267	0.265	0.262	0.259	0.255	0.251	0.247	0.243	0.238	0.233	0.228	0.222	0.217	0.21	0.202
0.24	0.244	0.249	0.255	0.26	0.264	0.267	0.27	0.27	0.271	0.271	0.271	0.27	0.269	0.268	0.267	0.265	0.264	0.261	0.258	0.255	0.252	0.248	0.244	0.24	0.235	0.23	0.226	0.22	0.215	0.208
0.226	0.232	0.237	0.243	0.248	0.253	0.257	0.26	0.261	0.263	0.264	0.264	0.265	0.264	0.264	0.263	0.263	0.262	0.26	0.258	0.255	0.252	0.249	0.245	0.241	0.237	0.233	0.229	0.225	0.221	0.215
0.214	0.22	0.225	0.23	0.236	0.24	0.245	0.248	0.251	0.254	0.256	0.257	0.259	0.259	0.26	0.26	0.26	0.259	0.258	0.257	0.255	0.253	0.25	0.247	0.244	0.24	0.237	0.233	0.23	0.226	0.222
0.203	0.208	0.213	0.217	0.222	0.227	0.231	0.236	0.24	0.244	0.247	0.25	0.253	0.254	0.256	0.257	0.257	0.257	0.257	0.256	0.255	0.253	0.251	0.249	0.247	0.244	0.241	0.238	0.235	0.232	0.229
0.193	0.196	0.199	0.203	0.206	0.211	0.216	0.221	0.227	0.233	0.238	0.243	0.247	0.25	0.253	0.254	0.255	0.255	0.255	0.255	0.254	0.254	0.253	0.251	0.25	0.247	0.245	0.242	0.239	0.236	0.235
0.185	0.187	0.186	0.185	0.185	0.188	0.193	0.2	    0.208	0.217	0.226	0.234	0.241	0.246	0.25	0.252	0.252	0.252	0.252	0.252	0.252	0.253	0.253	0.253	0.252	0.25	0.248	0.245	0.242	0.238	0.237
