TITLE="(Vx,Vy)"
VARIABLES=X,Y,jx,jy,Jm,T
ZONE T="T-Dummy" I=83, J=41, F=POINT
2.148795 0.021951 73.146393 -46.053936 87.131790 1086.655028
2.253614 0.021951 84.482712 -46.620064 96.826813 1086.655028
2.358434 0.021951 87.851952 -45.103882 98.876053 1086.655028
2.463253 0.021951 65.404945 -43.470665 78.672516 1086.655028
2.568072 0.021951 27.867878 -42.874523 51.546860 1086.655027
2.672892 0.021951 -1.740977 -43.431217 43.692829 1086.655028
2.777711 0.021951 -4.015919 -45.085846 45.390419 1086.655027
2.882530 0.021951 13.744350 -44.846970 47.201866 1086.655027
2.987349 0.021951 29.127678 -43.758984 52.833466 1086.655027
3.092169 0.021951 31.074291 -42.537647 52.940002 1086.655027
3.196988 0.021951 19.399315 -42.268768 46.880653 1086.655027
3.301807 0.021951 0.950549 -41.938599 42.501617 1086.655027
3.406627 0.021951 -9.923270 -42.531757 44.228645 1086.655027
3.511446 0.021951 -1.545548 -43.213783 43.658844 1086.655027
3.616265 0.021951 20.508892 -43.371758 48.137020 1086.655026
3.721084 0.021951 41.589371 -42.848721 59.743252 1086.655026
3.825904 0.021951 46.875652 -41.774864 62.795815 1086.655027
3.930723 0.021951 30.047537 -40.719406 50.630028 1086.655026
4.035542 0.021951 2.191360 -40.632866 40.892216 1086.655026
4.140361 0.021951 -15.077057 -41.501614 44.387901 1086.655026
4.245181 0.021951 -10.842052 -42.373314 43.880287 1086.655026
4.350000 0.021951 8.471168 -42.682938 43.552910 1086.655026
4.454819 0.021951 27.927443 -42.292099 50.681011 1086.655026
4.559639 0.021951 32.557030 -41.337181 52.627319 1086.655026
4.664458 0.021951 15.826053 -40.379898 43.374222 1086.655025
4.769277 0.021951 -11.600546 -40.360580 42.016861 1086.655025
4.874096 0.021951 -28.527845 -41.283520 50.210823 1086.655026
4.978916 0.021951 -24.128145 -42.216553 48.631672 1086.655025
5.083735 0.021951 -4.715342 -42.589943 42.857788 1086.655025
5.188554 0.021951 14.846077 -42.262131 44.858955 1086.655025
5.293373 0.021951 19.546455 -41.363178 45.875137 1086.655025
5.398193 0.021951 2.701406 -40.452518 40.658737 1086.655025
5.503012 0.021951 -25.120785 -40.477436 47.647758 1086.655024
5.607831 0.021951 -42.725060 -41.439987 59.522076 1086.655025
5.712651 0.021951 -39.371574 -42.401283 57.881382 1086.655025
5.817470 0.021951 -21.550863 -42.797768 48.059509 1086.655024
5.922289 0.021951 -4.293178 -42.491158 43.167564 1086.655024
6.027108 0.021951 -2.810365 -41.608559 42.462738 1086.655024
6.131928 0.021951 -24.051260 -40.708298 47.773483 1086.655024
6.236747 0.021951 -57.651165 -40.748718 70.713058 1086.655024
6.341566 0.021951 -82.519241 -41.741386 92.548370 1086.655024
6.446386 0.021951 -88.197266 -42.737976 98.137451 1086.655024
6.551205 0.021951 -81.798004 -43.168915 92.796814 1086.655024
6.656024 0.021951 -79.223770 -42.896690 90.657928 1086.655024
6.760843 0.021951 -96.750229 -42.053474 106.014366 1086.655024
6.865663 0.021951 -142.553223 -41.197632 148.621552 1086.655024
6.970482 0.021951 -207.441559 -41.302814 211.620941 1086.655024
7.075301 0.021951 -271.455261 -42.387817 274.827698 1086.655024
7.180120 0.021951 -325.786194 -43.496002 328.764465 1086.655024
7.284940 0.021951 -379.675323 -44.090553 382.320190 1086.655024
7.389759 0.021951 -451.024750 -44.072231 453.258057 1086.655024
7.494578 0.021951 -557.451721 -43.599728 559.215454 1086.655023
7.599398 0.021951 -706.899109 -43.163296 708.251221 1086.655023
7.704217 0.021951 -887.242065 -43.273239 888.314941 1086.655023
7.809036 0.021951 -1071.313232 -42.913307 1072.179443 1086.654968
7.913855 0.021951 -1224.304199 -42.197414 1225.037842 1086.646805
8.018675 0.021951 -1294.317505 -41.420532 1294.984619 1085.549722
8.123494 0.021951 -1225.125488 -38.931099 1225.746582 969.637014
8.228313 0.021951 -1018.806458 -35.143501 1019.414185 968.524990
8.333133 0.021951 -738.028137 -30.493105 738.659058 968.514974
