TITLE="(Vx,Vy)"
VARIABLES=X,Y,jx,jy,Jm,T
ZONE T="T-Dummy" I=83, J=41, F=POINT
0.052410 0.007317 0.000000 0.000000 0.000000 412.092892
0.157229 0.007317 0.000000 0.000000 0.000000 627.921343
0.262048 0.007317 0.000000 0.000000 0.000000 633.329173
0.366867 0.007317 0.000000 0.000000 0.000000 633.413248
0.471687 0.007317 0.000000 0.000000 0.000000 633.414628
0.576506 0.007317 0.000000 0.000000 0.000000 633.433112
0.681325 0.007317 0.000000 0.000000 0.000000 634.131469
0.786145 0.007317 0.000000 0.000000 0.000000 634.149831
0.890964 0.007317 0.000000 0.000000 0.000000 634.150141
0.995783 0.007317 0.000000 0.000000 0.000000 634.150145
1.100602 0.007317 0.000000 0.000000 0.000000 634.150145
1.205422 0.007317 0.000000 0.000000 0.000000 634.150144
1.310241 0.007317 0.000000 0.000000 0.000000 634.150143
1.415060 0.007317 0.000000 0.000000 0.000000 634.150143
1.519880 0.007317 0.000000 0.000000 0.000000 634.150142
1.624699 0.007317 0.000000 0.000000 0.000000 634.150141
1.729518 0.007317 0.000000 0.000000 0.000000 634.150141
1.834337 0.007317 0.000000 0.000000 0.000000 634.150140
1.939157 0.007317 0.000000 0.000000 0.000000 634.150140
2.043976 0.007317 0.000000 0.000000 0.000000 634.150139
2.148795 0.007317 0.000000 0.000000 0.000000 634.150138
2.253614 0.007317 0.000000 0.000000 0.000000 634.150137
2.358434 0.007317 0.000000 0.000000 0.000000 634.150137
2.463253 0.007317 0.000000 0.000000 0.000000 634.150136
2.568072 0.007317 0.000000 0.000000 0.000000 634.150135
2.672892 0.007317 0.000000 0.000000 0.000000 634.150134
2.777711 0.007317 0.000000 0.000000 0.000000 634.150134
2.882530 0.007317 0.000000 0.000000 0.000000 634.150133
2.987349 0.007317 0.000000 0.000000 0.000000 634.150132
3.092169 0.007317 0.000000 0.000000 0.000000 634.150131
3.196988 0.007317 0.000000 0.000000 0.000000 634.150130
3.301807 0.007317 0.000000 0.000000 0.000000 634.150129
3.406627 0.007317 0.000000 0.000000 0.000000 634.150128
3.511446 0.007317 0.000000 0.000000 0.000000 634.150127
3.616265 0.007317 0.000000 0.000000 0.000000 634.150126
3.721084 0.007317 0.000000 0.000000 0.000000 634.150126
3.825904 0.007317 0.000000 0.000000 0.000000 634.150125
3.930723 0.007317 0.000000 0.000000 0.000000 634.150120
4.035542 0.007317 0.000000 0.000000 0.000000 634.150121
4.140361 0.007317 0.000000 0.000000 0.000000 634.150121
4.245181 0.007317 0.000000 0.000000 0.000000 634.150121
4.350000 0.007317 0.000000 0.000000 0.000000 634.150120
4.454819 0.007317 0.000000 0.000000 0.000000 634.150119
4.559639 0.007317 0.000000 0.000000 0.000000 634.150119
4.664458 0.007317 0.000000 0.000000 0.000000 634.150117
4.769277 0.007317 0.000000 0.000000 0.000000 634.150116
4.874096 0.007317 0.000000 0.000000 0.000000 634.150115
4.978916 0.007317 0.000000 0.000000 0.000000 634.150114
5.083735 0.007317 0.000000 0.000000 0.000000 634.150112
5.188554 0.007317 0.000000 0.000000 0.000000 634.150111
5.293373 0.007317 0.000000 0.000000 0.000000 634.150111
5.398193 0.007317 0.000000 0.000000 0.000000 634.150111
5.503012 0.007317 0.000000 0.000000 0.000000 634.150110
5.607831 0.007317 0.000000 0.000000 0.000000 634.150110
5.712651 0.007317 0.000000 0.000000 0.000000 634.150108
5.817470 0.007317 0.000000 0.000000 0.000000 634.150108
5.922289 0.007317 0.000000 0.000000 0.000000 634.150108
6.027108 0.007317 0.000000 0.000000 0.000000 634.150107
6.131928 0.007317 0.000000 0.000000 0.000000 634.150107
6.236747 0.007317 0.000000 0.000000 0.000000 634.150105
6.341566 0.007317 0.000000 0.000000 0.000000 634.150105
6.446386 0.007317 0.000000 0.000000 0.000000 634.150105
6.551205 0.007317 0.000000 0.000000 0.000000 634.150104
6.656024 0.007317 0.000000 0.000000 0.000000 634.150104
6.760843 0.007317 0.000000 0.000000 0.000000 634.150103
6.865663 0.007317 0.000000 0.000000 0.000000 634.150103
6.970482 0.007317 0.000000 0.000000 0.000000 634.150102
7.075301 0.007317 0.000000 0.000000 0.000000 634.150102
7.180120 0.007317 0.000000 0.000000 0.000000 634.150101
7.284940 0.007317 0.000000 0.000000 0.000000 634.150101
7.389759 0.007317 0.000000 0.000000 0.000000 634.150101
7.494578 0.007317 0.000000 0.000000 0.000000 634.150101
7.599398 0.007317 0.000000 0.000000 0.000000 634.150101
7.704217 0.007317 0.000000 0.000000 0.000000 634.150100
7.809036 0.007317 0.000000 0.000000 0.000000 634.150096
7.913855 0.007317 0.000000 0.000000 0.000000 634.149785
8.018675 0.007317 0.000000 0.000000 0.000000 634.131423
8.123494 0.007317 0.000000 0.000000 0.000000 633.433066
8.228313 0.007317 0.000000 0.000000 0.000000 633.414582
8.333133 0.007317 0.000000 0.000000 0.000000 633.413139
8.437952 0.007317 0.000000 0.000000 0.000000 633.324003
8.542771 0.007317 0.000000 0.000000 0.000000 627.564651
8.647590 0.007317 0.000000 0.000000 0.000000 394.914847
0.052410 0.021951 0.000000 0.000000 0.000000 525.216638
0.157229 0.021951 384.030334 -48.317890 387.060181 961.422707
0.262048 0.021951 1219.587646 -57.969864 1220.966064 968.442883
0.366867 0.021951 2272.943848 -79.551147 2274.337402 968.514982
0.471687 0.021951 3801.750000 -126.060867 3803.842773 968.515767
0.576506 0.021951 7140.059570 -335.287323 7147.933594 968.528263
0.681325 0.021951 5362.325195 -4339.406738 6898.260742 969.277094
0.786145 0.021951 779.311768 -2768.624756 2876.234619 969.289459
0.890964 0.021951 282.774902 -2119.462891 2138.243164 969.289605
0.995783 0.021951 126.706268 -1803.608643 1808.053955 969.289605
1.100602 0.021951 42.521351 -1675.531006 1676.070557 969.289604
1.205422 0.021951 3.013653 -1657.438599 1657.441406 969.289603
1.310241 0.021951 -2.823897 -1669.402100 1669.404541 969.289600
1.415060 0.021951 6.899043 -1669.583252 1669.597534 969.289600
1.519880 0.021951 18.997425 -1644.832397 1644.942139 969.289599
1.624699 0.021951 22.549831 -1600.111328 1600.270264 969.289598
1.729518 0.021951 7.957190 -1561.184204 1561.205200 969.289596
1.834337 0.021951 -17.180706 -1569.963379 1570.059570 969.289595
1.939157 0.021951 -25.002338 -1625.362427 1625.555054 969.289595
2.043976 0.021951 -15.085670 -1662.098145 1662.166626 969.289592
2.148795 0.021951 -3.181123 -1679.619629 1679.623413 969.289590
2.253614 0.021951 13.846900 -1674.442749 1674.500244 969.289589
2.358434 0.021951 27.253586 -1629.671143 1629.900635 969.289588
2.463253 0.021951 15.997487 -1573.064453 1573.147583 969.289586
2.568072 0.021951 -12.696089 -1569.587891 1569.639282 969.289585
2.672892 0.021951 -28.873999 -1620.351929 1620.611816 969.289583
2.777711 0.021951 -18.895847 -1677.097534 1677.204834 969.289582
2.882530 0.021951 6.039176 -1690.479248 1690.491821 969.289580
2.987349 0.021951 23.662102 -1654.352783 1654.525391 969.289579
3.092169 0.021951 26.805241 -1603.317383 1603.542725 969.289578
3.196988 0.021951 13.756722 -1555.816650 1555.878418 969.289576
3.301807 0.021951 -10.890890 -1552.514526 1552.552734 969.289573
3.406627 0.021951 -23.020153 -1596.782349 1596.948242 969.289571
3.511446 0.021951 -16.862373 -1637.849365 1637.936523 969.289570
3.616265 0.021951 -3.749728 -1658.569824 1658.575195 969.289568
3.721084 0.021951 14.960623 -1652.318848 1652.386719 969.289567
3.825904 0.021951 26.403093 -1603.660889 1603.879395 969.289565
3.930723 0.021951 15.259249 -1554.006592 1554.081543 969.289554
4.035542 0.021951 -9.315004 -1547.096924 1547.125000 969.289557
4.140361 0.021951 -23.429176 -1589.179688 1589.352417 969.289556
4.245181 0.021951 -17.033939 -1634.158203 1634.247192 969.289557
4.350000 0.021951 -0.505404 -1651.718384 1651.718506 969.289556
4.454819 0.021951 15.450487 -1635.839844 1635.912842 969.289554
4.559639 0.021951 21.307781 -1594.950684 1595.093140 969.289553
4.664458 0.021951 12.454024 -1557.595337 1557.645386 969.289550
4.769277 0.021951 -9.019592 -1548.519531 1548.546631 969.289548
4.874096 0.021951 -23.467773 -1590.765381 1590.938477 969.289546
4.978916 0.021951 -16.597382 -1635.676514 1635.760742 969.289544
5.083735 0.021951 1.995335 -1652.081665 1652.083008 969.289539
5.188554 0.021951 21.571764 -1629.000366 1629.143555 969.289538
5.293373 0.021951 33.896233 -1573.891479 1574.258301 969.289537
5.398193 0.021951 26.417709 -1504.365234 1504.597290 969.289536
5.503012 0.021951 -0.024925 -1476.143311 1476.145508 969.289535
5.607831 0.021951 -17.504650 -1505.596558 1505.698486 969.289535
5.712651 0.021951 -13.685762 -1541.948486 1542.009277 969.289531
5.817470 0.021951 0.431438 -1556.218262 1556.218262 969.289532
5.922289 0.021951 15.618731 -1540.593262 1540.672607 969.289532
6.027108 0.021951 22.507713 -1499.036865 1499.206055 969.289530
6.131928 0.021951 11.107568 -1457.264893 1457.307373 969.289529
6.236747 0.021951 -11.698128 -1457.581909 1457.628906 969.289524
6.341566 0.021951 -23.301296 -1500.838623 1501.019775 969.289525
6.446386 0.021951 -16.290205 -1543.833008 1543.918945 969.289525
6.551205 0.021951 0.751579 -1560.747314 1560.747559 969.289523
6.656024 0.021951 21.417410 -1541.807373 1541.956787 969.289524
6.760843 0.021951 37.515686 -1483.624023 1484.098633 969.289521
6.865663 0.021951 26.008810 -1403.389160 1403.630127 969.289521
6.970482 0.021951 -5.100800 -1387.276611 1387.286255 969.289520
7.075301 0.021951 -20.897484 -1423.728027 1423.881592 969.289520
7.180120 0.021951 -17.015770 -1464.997803 1465.096680 969.289518
7.284940 0.021951 -4.957666 -1485.913330 1485.921631 969.289518
7.389759 0.021951 5.544186 -1482.555542 1482.566162 969.289517
7.494578 0.021951 4.462152 -1464.374146 1464.383301 969.289518
7.599398 0.021951 -23.463055 -1462.703613 1462.901367 969.289518
7.704217 0.021951 -97.542633 -1541.769775 1544.853027 969.289517
7.809036 0.021951 -258.960297 -1799.515381 1818.053711 969.289516
7.913855 0.021951 -767.812988 -2420.663818 2539.519531 969.289368
8.018675 0.021951 -5244.775391 -3995.375732 6593.239258 969.277004
8.123494 0.021951 -7143.354980 -303.050629 7149.781250 968.528174
8.228313 0.021951 -4062.545898 -123.032867 4064.410156 968.515676
8.333133 0.021951 -2526.292236 -84.699196 2527.713379 968.514857
8.437952 0.021951 -1387.313599 -65.517281 1388.861572 968.438809
8.542771 0.021951 -441.801117 -56.471600 445.399170 961.007789
8.647590 0.021951 0.000000 0.000000 0.000000 495.105633
0.052410 0.036585 0.000000 0.000000 0.000000 626.560597
0.157229 0.036585 382.682617 -144.772385 409.167969 1137.832625
0.262048 0.036585 1215.226685 -173.688324 1227.587891 1144.878220
0.366867 0.036585 2263.436523 -238.186920 2275.950684 1144.936675
0.471687 0.036585 3766.044434 -375.031494 3784.700684 1144.937112
0.576506 0.036585 6551.818848 -931.957397 6617.828125 1144.942435
0.681325 0.036585 5022.597656 -8202.848633 9618.501953 1145.272481
0.786145 0.036585 1089.244629 -5464.899902 5572.416992 1145.277748
0.890964 0.036585 417.503662 -4219.057617 4239.665039 1145.277799
0.995783 0.036585 188.684891 -3596.943604 3601.889160 1145.277800
1.100602 0.036585 62.928604 -3345.279785 3345.871582 1145.277799
1.205422 0.036585 3.869343 -3313.723633 3313.726074 1145.277798
1.310241 0.036585 -4.519450 -3340.048340 3340.051270 1145.277796
1.415060 0.036585 10.329290 -3341.047852 3341.063965 1145.277798
1.519880 0.036585 28.696609 -3291.109131 3291.234375 1145.277799
1.624699 0.036585 34.228203 -3199.943359 3200.126465 1145.277798
1.729518 0.036585 12.166233 -3119.407715 3119.432129 1145.277795
1.834337 0.036585 -26.140823 -3137.098877 3137.210449 1145.277796
1.939157 0.036585 -37.865566 -3251.835938 3252.056885 1145.277797
2.043976 0.036585 -22.660688 -3325.307373 3325.384521 1145.277797
2.148795 0.036585 -4.904587 -3360.626709 3360.631348 1145.277794
2.253614 0.036585 20.820370 -3351.476562 3351.541504 1145.277795
2.358434 0.036585 41.407318 -3260.243652 3260.508301 1145.277796
2.463253 0.036585 24.385880 -3142.955566 3143.052246 1145.277796
2.568072 0.036585 -19.298046 -3135.802734 3135.862305 1145.277796
2.672892 0.036585 -43.883751 -3240.306885 3240.607422 1145.277796
2.777711 0.036585 -28.686543 -3357.072754 3357.196045 1145.277796
2.882530 0.036585 9.214637 -3384.299561 3384.314453 1145.277796
2.987349 0.036585 35.831017 -3309.861816 3310.059814 1145.277795
3.092169 0.036585 40.562153 -3206.304688 3206.562500 1145.277795
3.196988 0.036585 20.849476 -3108.944824 3109.015625 1145.277794
3.301807 0.036585 -16.610233 -3102.349121 3102.393555 1145.277793
3.406627 0.036585 -34.934013 -3193.871826 3194.062988 1145.277793
3.511446 0.036585 -25.488731 -3277.413818 3277.513428 1145.277792
3.616265 0.036585 -5.769867 -3319.539551 3319.545898 1145.277791
3.721084 0.036585 22.626654 -3307.966309 3308.043457 1145.277794
3.825904 0.036585 40.128777 -3207.710449 3207.962891 1145.277790
3.930723 0.036585 23.156315 -3105.595947 3105.682129 1145.277775
4.035542 0.036585 -14.225644 -3091.677734 3091.710449 1145.277781
4.140361 0.036585 -35.584103 -3178.728516 3178.927734 1145.277782
4.245181 0.036585 -25.765167 -3270.599609 3270.701172 1145.277784
4.350000 0.036585 -0.740175 -3306.112305 3306.112305 1145.277784
4.454819 0.036585 23.375999 -3273.760498 3273.843994 1145.277785
4.559639 0.036585 32.231728 -3190.406250 3190.569336 1145.277787
4.664458 0.036585 18.936424 -3114.364502 3114.422363 1145.277786
4.769277 0.036585 -13.650556 -3094.743896 3094.774902 1145.277786
4.874096 0.036585 -35.636055 -3182.006592 3182.206055 1145.277784
4.978916 0.036585 -25.157946 -3273.799805 3273.896484 1145.277785
5.083735 0.036585 2.927413 -3307.463623 3307.464844 1145.277783
5.188554 0.036585 32.488136 -3261.170166 3261.332520 1145.277784
5.293373 0.036585 51.296925 -3149.706055 3150.125977 1145.277781
5.398193 0.036585 40.064621 -3006.964844 3007.231934 1145.277779
5.503012 0.036585 -0.196821 -2949.402344 2949.405029 1145.277783
5.607831 0.036585 -26.691906 -3011.187744 3011.306152 1145.277782
5.712651 0.036585 -20.753227 -3085.761230 3085.831055 1145.277773
5.817470 0.036585 0.620623 -3114.847168 3114.847168 1145.277776
5.922289 0.036585 23.602007 -3083.336426 3083.426758 1145.277778
6.027108 0.036585 34.141464 -2998.613037 2998.807617 1145.277779
6.131928 0.036585 16.895226 -2912.540771 2912.589844 1145.277778
6.236747 0.036585 -17.781601 -2913.140625 2913.194824 1145.277772
6.341566 0.036585 -35.343079 -3002.255371 3002.463867 1145.277774
6.446386 0.036585 -24.654249 -3089.898438 3089.997070 1145.277776
6.551205 0.036585 1.034361 -3124.421631 3124.421875 1145.277776
6.656024 0.036585 32.184837 -3086.851562 3087.020264 1145.277776
6.760843 0.036585 56.840702 -2969.607910 2970.152344 1145.277772
6.865663 0.036585 39.460159 -2803.826172 2804.103760 1145.277773
6.970482 0.036585 -7.940361 -2772.001953 2772.013672 1145.277775
7.075301 0.036585 -31.748383 -2847.699707 2847.876953 1145.277776
7.180120 0.036585 -25.697676 -2931.820801 2931.933350 1145.277775
7.284940 0.036585 -7.408953 -2973.940430 2973.949707 1145.277774
7.389759 0.036585 8.551333 -2966.641113 2966.653564 1145.277772
7.494578 0.036585 7.233739 -2928.346680 2928.358398 1145.277774
7.599398 0.036585 -34.268494 -2921.133789 2921.346191 1145.277775
7.704217 0.036585 -144.566025 -3073.245605 3076.645020 1145.277775
7.809036 0.036585 -381.665588 -3576.554443 3596.862305 1145.277775
7.913855 0.036585 -1074.384277 -4767.403320 4886.967773 1145.277721
8.018675 0.036585 -4949.130859 -7524.174805 9005.960938 1145.272456
8.123494 0.036585 -6602.727539 -840.749146 6656.051270 1144.942414
8.228313 0.036585 -4032.062500 -366.383179 4048.690918 1144.937089
8.333133 0.036585 -2518.263184 -253.749725 2531.031982 1144.936630
8.437952 0.036585 -1383.373169 -196.363937 1397.256348 1144.874431
8.542771 0.036585 -440.538391 -169.241394 471.955475 1137.348160
8.647590 0.036585 0.000000 0.000000 0.000000 586.858399
0.052410 0.051220 0.000000 0.000000 0.000000 713.599232
0.157229 0.051220 379.993103 -240.683807 449.838379 1203.926870
0.262048 0.051220 1206.545288 -288.747375 1240.646729 1210.036796
0.366867 0.051220 2244.832764 -395.471863 2279.445801 1210.082113
0.471687 0.051220 3704.888916 -615.875488 3755.811035 1210.082377
0.576506 0.051220 6047.191406 -1397.957153 6206.843750 1210.083977
0.681325 0.051220 4729.465332 -7337.507812 8729.841797 1210.182260
0.786145 0.051220 1335.500977 -5309.337891 5474.764648 1210.183843
0.890964 0.051220 543.565918 -4174.046875 4209.291016 1210.183856
0.995783 0.051220 248.697083 -3573.170410 3581.814941 1210.183857
1.100602 0.051220 82.062576 -3331.815430 3332.825684 1210.183858
1.205422 0.051220 3.744065 -3311.135498 3311.137695 1210.183856
1.310241 0.051220 -6.638738 -3343.047607 3343.054688 1210.183854
1.415060 0.051220 13.731560 -3345.515137 3345.543457 1210.183856
1.519880 0.051220 38.697453 -3294.562256 3294.789551 1210.183859
1.624699 0.051220 46.521614 -3199.355957 3199.694336 1210.183857
1.729518 0.051220 16.731106 -3112.426758 3112.473145 1210.183854
1.834337 0.051220 -35.669441 -3130.402832 3130.611084 1210.183856
1.939157 0.051220 -51.278725 -3254.576660 3254.980957 1210.183859
2.043976 0.051220 -30.274281 -3327.909424 3328.047363 1210.183858
2.148795 0.051220 -6.834685 -3363.855469 3363.864502 1210.183856
2.253614 0.051220 27.861704 -3357.648193 3357.764648 1210.183857
2.358434 0.051220 56.365837 -3262.453125 3262.943848 1210.183860
2.463253 0.051220 33.371040 -3135.449707 3135.632080 1210.183861
2.568072 0.051220 -26.287615 -3127.845215 3127.955566 1210.183863
