TITLE="(Vx,Vy)"
VARIABLES=X,Y,Hx,Hy,Hm
ZONE T="T-Dummy" I=83, J=30, F=POINT
1.836667 2.672892 -62.117569 -207.611206 216.705688
1.836667 2.777711 -41.734383 -224.902023 228.741577
1.836667 2.882530 17.775253 -227.379211 228.073166
1.836667 2.987349 77.336533 -212.730896 226.352722
1.836667 3.092169 97.814636 -183.505768 207.947311
1.836667 3.196988 59.261116 -152.171204 163.304108
1.836667 3.301807 -9.868927 -146.094299 146.429047
1.836667 3.406627 -48.936459 -165.330795 172.422638
1.836667 3.511446 -29.479658 -182.845306 185.206909
1.836667 3.616265 28.885002 -186.348633 188.575348
1.836667 3.721084 87.258484 -173.390381 194.111145
1.836667 3.825904 106.644302 -146.399475 181.123993
1.836667 3.930723 67.208458 -117.742241 135.574188
1.836667 4.035542 -2.405273 -114.742279 114.770218
1.836667 4.140361 -41.309963 -137.300934 143.382767
1.836667 4.245181 -21.039745 -158.094299 159.489014
1.836667 4.350000 38.611588 -164.678207 169.147598
1.836667 4.454819 98.669968 -154.547180 183.364136
1.836667 4.559639 120.119049 -130.098267 177.072205
1.836667 4.664458 83.054474 -103.620026 132.797623
1.836667 4.769277 16.051483 -102.261017 103.517090
1.836667 4.874096 -20.081207 -125.936462 127.532715
1.836667 4.978916 3.018157 -147.551697 147.587143
1.836667 5.083735 65.674835 -154.748718 168.117828
1.836667 5.188554 129.377045 -145.038971 194.366959
1.836667 5.293373 155.763336 -120.877701 197.166931
1.836667 5.398193 125.019577 -94.644867 156.804245
1.836667 5.503012 59.118687 -93.220932 110.388985
1.836667 5.607831 15.049023 -111.683441 112.705849
1.836667 5.712651 25.995182 -128.845032 131.453308
1.836667 5.817470 75.343338 -132.924103 152.808014
1.836667 5.922289 125.811440 -121.234131 174.731049
1.836667 6.027108 139.839996 -95.909439 169.574234
1.836667 6.131928 98.351723 -68.658035 119.945793
1.836667 6.236747 28.732502 -65.442169 71.479950
1.836667 6.341566 -10.756779 -86.080673 86.760895
1.836667 6.446386 6.829213 -104.543320 104.776085
1.836667 6.551205 62.135998 -108.948090 125.443237
1.836667 6.656024 117.952789 -96.882706 152.661057
1.836667 6.760843 137.100861 -70.848099 154.331573
1.836667 6.865663 92.788162 -44.160080 102.760742
1.836667 6.970482 12.043589 -43.287872 44.956020
1.836667 7.075301 -39.417587 -66.099701 76.963898
1.836667 7.180120 -36.116848 -86.716888 93.937790
1.836667 7.284940 0.135047 -93.470963 93.477951
1.836667 7.389759 30.751320 -83.986649 89.462616
1.836667 7.494578 19.309460 -60.350574 63.396873
1.836667 7.599398 -49.498280 -33.748692 59.926926
1.836667 7.704217 -146.887512 -29.117455 149.747833
1.836667 7.809036 -212.773804 -45.907425 217.669891
1.836667 7.913855 -224.759247 -67.944595 234.804840
1.836667 8.018675 -194.072083 -77.983505 209.193481
1.836667 8.123494 -162.773529 -72.151062 178.184387
1.836667 8.228313 -159.627075 -51.472473 167.789841
1.836667 8.333133 -165.861145 -23.670250 167.552551
1.836667 8.437952 -173.152969 -7.473997 173.314392
1.836667 8.542771 -88.375870 -1.127093 88.383423
1.836667 8.647590 0.000000 0.000000 0.000000
1.963333 0.052410 0.000000 0.000000 0.000000
1.963333 0.157229 76.953606 -91.213608 119.448547
1.963333 0.262048 139.481964 -86.746605 164.460175
1.963333 0.366867 112.591507 -73.556213 134.948196
1.963333 0.471687 91.096634 -48.312946 103.904449
1.963333 0.576506 91.679657 -27.787149 96.416885
1.963333 0.681325 145.288315 -23.681114 147.392487
1.963333 0.786145 213.741226 -34.795761 216.633087
1.963333 0.890964 226.392151 -59.321396 234.080566
1.963333 0.995783 165.193451 -85.136642 185.870331
1.963333 1.100602 65.816818 -87.567947 109.580292
1.963333 1.205422 -5.347070 -64.388512 64.618187
1.963333 1.310241 -12.854942 -42.162079 44.080589
1.963333 1.415060 27.664764 -32.380241 42.720409
1.963333 1.519880 73.485504 -36.820824 82.287025
1.963333 1.624699 85.938705 -52.519833 100.765549
1.963333 1.729518 42.391174 -71.594902 83.217712
1.963333 1.834337 -31.280842 -66.957840 73.904800
1.963333 1.939157 -74.138451 -38.960236 83.792511
1.963333 2.043976 -57.668610 -13.527771 59.363754
1.963333 2.148795 -1.084020 -2.097650 4.476935
1.963333 2.253614 56.846233 -6.683432 57.375763
1.963333 2.358434 76.914139 -24.811653 80.865685
1.963333 2.463253 38.578674 -44.488808 58.894207
1.963333 2.568072 -30.199512 -39.290955 49.561970
1.963333 2.672892 -68.716309 -9.278574 69.388580
1.963333 2.777711 -48.444080 18.780054 52.061333
1.963333 2.882530 10.939402 32.742691 34.548626
1.963333 2.987349 70.445450 30.093979 76.670532
1.963333 3.092169 90.965729 13.159405 91.938995
1.963333 3.196988 52.505474 -5.934361 52.842583
1.963333 3.301807 -16.476133 -0.498282 16.490860
1.963333 3.406627 -55.206451 29.400963 62.564438
1.963333 3.511446 -35.244091 56.888268 66.931816
1.963333 3.616265 23.646749 69.715759 73.630783
1.963333 3.721084 82.536125 65.439842 105.359596
1.963333 3.825904 102.440765 46.477898 112.503174
1.963333 3.930723 63.526299 25.036819 68.282227
1.963333 4.035542 -5.586568 27.903290 28.465412
1.963333 4.140361 -44.019680 55.072113 70.503815
1.963333 4.245181 -23.355438 79.811310 83.158470
1.963333 4.350000 36.564297 90.023392 97.180481
1.963333 4.454819 96.806137 83.360184 127.772888
1.963333 4.559639 118.413376 62.269318 133.796509
1.963333 4.664458 81.528625 38.923985 90.343872
1.963333 4.769277 14.722355 40.053589 42.684414
1.963333 4.874096 -21.252457 65.594574 68.955383
1.963333 4.978916 1.865654 88.919724 88.946861
1.963333 5.083735 64.349846 98.108231 117.355339
1.963333 5.188554 127.777115 90.962570 156.870346
1.963333 5.293373 153.928726 69.947014 169.083862
1.963333 5.398193 122.982620 47.120106 131.700562
1.963333 5.503012 55.607765 48.759308 73.959763
1.963333 5.607831 10.134398 76.382263 77.071266
1.963333 5.712651 21.260185 102.201706 104.405304
1.963333 5.817470 71.016129 113.954330 134.292328
1.963333 5.922289 121.779724 109.263657 163.627869
1.963333 6.027108 135.971649 90.548386 163.367584
1.963333 6.131928 94.564453 69.716705 117.485565
1.963333 6.236747 24.952250 72.875603 77.036362
1.963333 6.341566 -14.619631 100.018921 101.090118
1.963333 6.446386 2.793357 125.189667 125.227341
1.963333 6.551205 57.852760 136.681641 148.433273
1.963333 6.656024 113.480194 132.273834 174.293106
1.963333 6.760843 132.971130 114.413666 175.421844
1.963333 6.865663 90.760437 94.713898 131.180054
1.963333 6.970482 11.810307 93.150131 93.906540
1.963333 7.075301 -39.787006 115.777084 122.429962
1.963333 7.180120 -36.986546 137.261642 142.159637
1.963333 7.284940 -1.315753 145.791962 145.801971
1.963333 7.389759 28.613457 138.956024 141.879944
1.963333 7.494578 16.298004 119.027596 120.150238
1.963333 7.599398 -53.535469 97.670212 111.412643
1.963333 7.704217 -151.717468 100.627029 182.081299
1.963333 7.809036 -216.028091 127.923721 251.074890
1.963333 7.913855 -223.194458 152.520142 270.357605
1.963333 8.018675 -189.105194 154.945724 244.684784
1.963333 8.123494 -157.332794 140.349091 211.324417
1.963333 8.228313 -154.740662 111.470360 191.089905
1.963333 8.333133 -162.321381 77.307739 179.979034
1.963333 8.437952 -171.036346 56.969688 180.345428
1.963333 8.542771 -87.661194 48.649082 100.312828
1.963333 8.647590 0.000000 0.000000 0.000000
2.090000 0.052410 0.000000 0.000000 0.000000
2.090000 0.157229 73.594925 -43.744007 85.706802
2.090000 0.262048 124.247971 -30.225554 127.945694
2.090000 0.366867 75.508926 2.352288 75.552208
2.090000 0.471687 41.018974 57.336342 71.825470
2.090000 0.576506 57.766502 100.579964 117.086052
2.090000 0.681325 145.758942 116.008858 186.423767
2.090000 0.786145 251.745026 102.316437 271.742920
2.090000 0.890964 288.943542 60.954109 295.303986
2.090000 0.995783 204.671677 17.793945 205.443787
2.090000 1.100602 47.936768 18.245281 51.291718
2.090000 1.205422 -51.080872 62.578026 80.784286
2.090000 1.310241 -44.788696 103.595016 112.869614
2.090000 1.415060 25.890631 120.243935 123.000122
2.090000 1.519880 103.435089 106.063393 148.156464
2.090000 1.624699 134.465805 66.478607 150.002167
2.090000 1.729518 66.438110 26.447849 71.516899
2.090000 1.834337 -63.893387 32.617790 71.738953
2.090000 1.939157 -132.764236 81.708801 155.895020
2.090000 2.043976 -97.775558 128.136307 161.187546
2.090000 2.148795 -5.375795 148.098419 148.196747
2.090000 2.253614 88.409348 136.311371 162.472595
2.090000 2.358434 127.028534 98.758133 160.902298
2.090000 2.463253 61.811443 59.075439 85.518463
2.090000 2.568072 -64.899094 64.363708 91.415375
2.090000 2.672892 -130.439316 114.863289 173.805359
2.090000 2.777711 -91.530090 163.628571 187.489197
2.090000 2.882530 4.414081 185.728775 185.781281
2.090000 2.987349 100.684700 174.910934 201.820160
2.090000 3.092169 140.306091 137.001068 196.102234
2.090000 3.196988 75.260513 96.958817 122.755600
2.090000 3.301807 -51.253044 101.989029 114.167290
2.090000 3.406627 -116.456268 152.079056 191.556213
2.090000 3.511446 -77.197861 199.984833 214.368744
2.090000 3.616265 18.829487 220.627716 221.430664
2.090000 3.721084 114.888580 207.996460 237.617340
2.090000 3.825904 154.177368 168.023407 228.044434
2.090000 3.930723 88.944031 125.731102 154.023865
2.090000 4.035542 -37.423626 128.419891 133.789520
2.090000 4.140361 -102.173264 176.074005 203.590332
2.090000 4.245181 -62.270397 221.509979 230.100616
2.090000 4.350000 34.550278 239.806396 242.284973
2.090000 4.454819 131.625839 225.044800 260.712097
2.090000 4.559639 172.312866 183.164124 251.480087
2.090000 4.664458 109.028763 139.068542 176.721970
2.090000 4.769277 -14.888922 139.855194 140.677521
2.090000 4.874096 -77.178490 185.393982 200.848511
2.090000 4.978916 -35.225227 228.741089 231.448822
2.090000 5.083735 63.386051 245.353104 253.415710
2.090000 5.188554 162.653992 229.799896 281.541504
2.090000 5.293373 206.934937 188.188690 279.709778
2.090000 5.398193 149.500626 146.010498 208.979950
2.090000 5.503012 25.027748 148.261475 150.382812
2.090000 5.607831 -47.541965 195.607880 201.347260
2.090000 5.712651 -18.392836 241.271729 241.987610
2.090000 5.817470 66.923706 260.734161 269.192474
2.090000 5.922289 153.207718 248.134430 291.622803
2.090000 6.027108 185.605896 209.271912 279.724518
2.090000 6.131928 118.311615 168.424866 205.834076
2.090000 6.236747 -6.945409 171.457397 171.627319
2.090000 6.341566 -72.213898 218.309814 229.979111
2.090000 6.446386 -36.557579 263.313690 265.851013
2.090000 6.551205 53.466858 282.413574 287.434631
2.090000 6.656024 143.360443 269.993988 305.694702
2.090000 6.760843 179.210358 231.988525 293.149841
2.090000 6.865663 115.377312 192.505981 224.439819
2.090000 6.970482 -14.494417 191.024857 191.602585
2.090000 7.075301 -92.702682 232.224930 250.080536
2.090000 7.180120 -72.400558 272.540588 282.002625
2.090000 7.284940 -2.986195 288.084167 288.101807
2.090000 7.389759 59.085106 272.985779 279.306885
2.090000 7.494578 60.445866 232.740662 240.463196
2.090000 7.599398 -37.939236 191.013672 194.753265
2.090000 7.704217 -192.453705 192.854477 272.523682
2.090000 7.809036 -280.177979 238.568817 368.035675
2.090000 7.913855 -256.042114 283.498779 382.066162
2.090000 8.018675 -175.777756 296.225586 344.726776
2.090000 8.123494 -110.859772 268.890625 291.503723
2.090000 8.228313 -93.147430 214.070343 234.134781
2.090000 8.333133 -112.651123 149.552734 187.762665
2.090000 8.437952 -146.433380 108.764954 182.631180
2.090000 8.542771 -81.099159 91.096237 122.066330
2.090000 8.647590 0.000000 0.000000 0.000000
2.216667 0.052410 0.000000 0.000000 0.000000
2.216667 0.157229 66.606461 -13.624626 68.031662
2.216667 0.262048 99.422089 0.123850 99.429535
2.216667 0.366867 30.292418 30.446598 44.383606
2.216667 0.471687 -6.801001 73.426186 76.043915
2.216667 0.576506 29.181025 105.042778 110.790909
2.216667 0.681325 144.044937 116.127823 185.274658
2.216667 0.786145 281.641174 102.710632 299.799011
2.216667 0.890964 336.880798 72.361351 344.570221
2.216667 0.995783 230.416473 46.307354 235.032059
2.216667 1.100602 26.789343 49.480709 56.271687
2.216667 1.205422 -96.581024 83.196045 127.479019
2.216667 1.310241 -77.203789 116.708443 139.933441
2.216667 1.415060 26.129841 130.635941 133.224228
2.216667 1.519880 138.526581 118.498550 182.298615
2.216667 1.624699 182.453186 85.275475 201.410461
2.216667 1.729518 85.323059 55.401215 101.770065
2.216667 1.834337 -93.561676 57.359329 109.764313
2.216667 1.939157 -184.986908 90.719597 206.042664
2.216667 2.043976 -135.630814 125.686951 184.915054
2.216667 2.148795 -10.457623 142.118103 142.503159
2.216667 2.253614 115.765480 134.574829 177.524902
2.216667 2.358434 168.589355 109.921318 201.278778
2.216667 2.463253 79.603302 84.395569 116.057396
2.216667 2.568072 -95.166855 89.630463 130.757584
2.216667 2.672892 -185.438599 126.477783 224.481308
2.216667 2.777711 -132.367310 164.925354 211.480072
2.216667 2.882530 -2.381418 184.319000 184.334412
2.216667 2.987349 128.341965 177.224396 218.823303
2.216667 3.092169 182.929596 149.836563 236.487991
2.216667 3.196988 93.645523 123.164749 154.758423
2.216667 3.301807 -81.041946 127.936531 151.485992
2.216667 3.406627 -170.581299 164.266937 236.850586
2.216667 3.511446 -116.425362 201.567993 232.788239
2.216667 3.616265 14.225453 218.673035 219.135422
2.216667 3.721084 144.976410 209.267853 254.587830
2.216667 3.825904 199.353821 179.552185 268.319855
2.216667 3.930723 109.975235 150.497452 186.427460
2.216667 4.035542 -64.459335 152.990128 166.062592
2.216667 4.140361 -153.453445 187.061493 242.000427
2.216667 4.245181 -98.702034 221.969208 242.943420
2.216667 4.350000 32.526527 236.829468 239.053406
2.216667 4.454819 164.014954 225.430817 278.788574
2.216667 4.559639 219.598618 193.926147 292.992523
2.216667 4.664458 132.269318 163.094391 210.011383
2.216667 4.769277 -39.326797 163.530701 168.247681
2.216667 4.874096 -125.562256 195.042480 232.033661
2.216667 4.978916 -68.918114 226.955902 237.217194
2.216667 5.083735 63.230461 238.873688 247.102997
2.216667 5.188554 195.435791 225.979843 298.770691
2.216667 5.293373 252.164383 194.252472 318.328491
2.216667 5.398193 169.363037 168.933197 239.232086
2.216667 5.503012 -2.458840 173.739166 173.801025
2.216667 5.607831 -99.202881 209.289719 231.693817
2.216667 5.712651 -55.876732 245.443451 251.754044
2.216667 5.817470 62.781353 261.867004 269.289642
2.216667 5.922289 182.372131 252.551270 311.519653
2.216667 6.027108 228.991714 223.634735 320.100891
2.216667 6.131928 137.970856 195.588058 239.374603
2.216667 6.236747 -34.061646 198.466522 201.417694
2.216667 6.341566 -123.023499 232.280396 262.920532
2.216667 6.446386 -73.315056 267.154602 277.058655
2.216667 6.551205 49.480591 282.822205 287.119568
2.216667 6.656024 171.893738 273.334442 322.896667
2.216667 6.760843 221.425323 244.830109 330.130920
2.216667 6.865663 135.338379 217.621002 256.289948
2.216667 6.970482 -37.971821 220.616394 223.906891
2.216667 7.075301 -138.292084 248.130829 284.140442
2.216667 7.180120 -104.622589 277.872192 296.942505
2.216667 7.284940 -3.716246 289.618286 289.644470
2.216667 7.389759 89.115936 277.028259 291.012360
2.216667 7.494578 102.024849 245.834564 266.181396
2.216667 7.599398 -21.446411 215.940552 217.004974
2.216667 7.704217 -222.577545 216.777649 310.789856
2.216667 7.809036 -332.235992 248.446167 414.939880
2.216667 7.913855 -290.773132 281.521606 404.834839
2.216667 8.018675 -165.753967 295.187012 338.900024
2.216667 8.123494 -59.027382 274.832031 281.863159
2.216667 8.228313 -25.697258 226.135025 228.376831
