TITLE="(Vx,Vy)"
VARIABLES=X,MPR1,MPR2,MPR3,MPR4,MPR5
ZONE T="T-Dummy" I=1, J=1
0.645000 0.570731 0.570731 0.570731
0.650000 0.570731 0.570731 0.570731
0.650000 0.570731 0.570731 0.570731
0.655000 0.570731 0.570731 0.570731
0.655000 0.570731 0.570731 0.570731
0.660000 0.570731 0.570731 0.570731
0.660000 0.570731 0.570731 0.570731
0.665000 0.570731 0.570731 0.570731
0.665000 0.570731 0.570731 0.570731
0.670000 0.570731 0.570731 0.570731
0.670000 0.570731 0.570731 0.570731
0.675000 0.570731 0.570731 0.570731
0.675000 0.570731 0.570731 0.570731
0.680000 0.570731 0.570731 0.570731
0.680000 0.570731 0.570731 0.570731
0.685000 0.570731 0.570731 0.570731
0.685000 0.570731 0.570731 0.570731
0.690000 0.570731 0.570731 0.570731
0.690000 0.570731 0.570731 0.570731
0.695000 0.570731 0.570731 0.570731
0.695000 0.570731 0.570731 0.570731
0.700000 0.570731 0.570731 0.570731
0.700000 0.570731 0.570731 0.570731
0.705000 0.570731 0.570731 0.570731
0.705000 0.570731 0.570731 0.570731
0.710000 0.570731 0.570731 0.570731
0.710000 0.570731 0.570731 0.570731
0.715000 0.570731 0.570731 0.570731
0.715000 0.570731 0.570731 0.570731
0.720000 0.570731 0.570731 0.570731
0.720000 0.570731 0.570731 0.570731
0.725000 0.570731 0.570731 0.570731
0.725000 0.570731 0.570731 0.570731
0.730000 0.570731 0.570731 0.570731
0.730000 0.570731 0.570731 0.570731
0.735000 0.570731 0.570731 0.570731
0.735000 0.570731 0.570731 0.570731
0.740000 0.570731 0.570731 0.570731
0.740000 0.570731 0.570731 0.570731
0.745000 0.570731 0.570731 0.570731
0.745000 0.570731 0.570731 0.570731
0.750000 0.570731 0.570731 0.570731
0.750000 0.570731 0.570731 0.570731
0.755000 0.570731 0.570731 0.570731
0.755000 0.570731 0.570731 0.570731
0.760000 0.570731 0.570731 0.570731
0.760000 0.570731 0.570731 0.570731
0.765000 0.570731 0.570731 0.570731
0.765000 0.570731 0.570731 0.570731
0.770000 0.570731 0.570731 0.570731
0.770000 0.570731 0.570731 0.570731
0.775000 0.570731 0.570731 0.570731
0.775000 0.570731 0.570731 0.570731
0.780000 0.570731 0.570731 0.570731
0.780000 0.570731 0.570731 0.570731
0.785000 0.570731 0.570731 0.570731
0.785000 0.570731 0.570731 0.570731
0.790000 0.570731 0.570731 0.570731
